regime,theta,se
hard,-0.283794574,0.070106197
hard,-0.164503337,0.054348786
hard,-0.140825272,0.046429052
hard,-0.293145941,0.069685258
hard,-0.138925241,0.052164539
hard,-0.330445601,0.079560442
hard,-0.16949604,0.044777354
hard,-0.298978017,0.070160642
hard,-0.147524214,0.048199994
hard,-0.206333471,0.054994013
hard,-0.204916067,0.061853188
hard,-0.245015977,0.065310501
hard,-0.26277771,0.062193962
hard,-0.303455543,0.072039647
hard,-0.156364642,0.049390009
hard,-0.283865719,0.070635145
hard,-0.264172615,0.068025142
hard,-0.307764659,0.073464066
hard,-0.146417992,0.052098239
hard,-0.27928217,0.068072278
hard,-0.173564948,0.049112351
hard,-0.330171785,0.079914243
hard,-0.197182191,0.049403324
hard,-0.281012774,0.068998374
hard,-0.268708979,0.073571735
hard,-0.20467501,0.051339165
hard,-0.19322977,0.053619862
hard,-0.26009166,0.065065235
hard,-0.301283255,0.071459739
hard,-0.130763566,0.046133485
hard,-0.264324688,0.071388006
hard,-0.153908981,0.04584328
hard,-0.313928482,0.077401167
hard,-0.333672906,0.080229628
hard,-0.178985787,0.056207822
hard,-0.305823497,0.071657096
hard,-0.293689221,0.073399672
hard,-0.326085749,0.078556696
hard,-0.209399704,0.056669969
hard,-0.149414663,0.04821406
hard,-0.273105247,0.070167526
hard,-0.188889715,0.053968396
hard,-0.310672414,0.073608451
hard,-0.276057649,0.074805118
hard,-0.271962008,0.064523184
hard,-0.184853461,0.052507129
hard,-0.176860926,0.072342053
hard,-0.301145546,0.075302957
hard,-0.195730806,0.049880035
hard,-0.196146672,0.057850673
hard,-0.199644433,0.051709773
hard,-0.31067272,0.073020694
hard,-0.187301492,0.068890838
hard,-0.153164449,0.052410245
hard,-0.295269202,0.071610694
hard,-0.275904959,0.068550883
hard,-0.286356432,0.07300751
hard,-0.299076274,0.072520196
hard,-0.327455677,0.08330038
hard,-0.17454284,0.049190396
hard,-0.257276728,0.061660772
hard,-0.239135149,0.057300631
hard,-0.254837298,0.069903567
hard,-0.292548659,0.07315637
hard,-0.259697827,0.071057391
hard,-0.282141909,0.06485812
hard,-0.263578852,0.065194143
hard,-0.208371666,0.064749799
hard,-0.214370262,0.06761698
hard,-0.200602512,0.055248654
hard,-0.271975703,0.066898691
hard,-0.177000936,0.052316882
hard,-0.16577959,0.053645608
hard,-0.209665378,0.05664014
hard,-0.316375919,0.074990227
hard,-0.26639602,0.06967245
hard,-0.147968344,0.049068448
hard,-0.222613154,0.058355987
hard,-0.298443482,0.069890101
hard,-0.319512355,0.076815587
hard,-0.166944113,0.045345903
hard,-0.282973158,0.065552881
hard,-0.270894339,0.069828124
hard,-0.184209267,0.047751802
hard,-0.192714006,0.053957839
hard,-0.284589714,0.068955055
hard,-0.147472292,0.049275622
hard,-0.260488128,0.061767392
hard,-0.210089893,0.052505035
hard,-0.15274937,0.052367186
hard,-0.334394823,0.080414799
hard,-0.305505116,0.071878446
hard,-0.29718658,0.070442683
hard,-0.243056661,0.062758233
hard,-0.177990191,0.048732544
hard,-0.296056815,0.071542762
hard,-0.319500212,0.079017588
hard,-0.274419841,0.075253714
hard,-0.137323879,0.054105164
hard,-0.127056967,0.052286281
hard,-0.320601574,0.078034727
hard,-0.321530572,0.076709696
hard,-0.249881198,0.059048837
hard,-0.185438758,0.050340972
hard,-0.306687294,0.072283232
hard,-0.219587246,0.054300886
hard,-0.317199301,0.075427249
hard,-0.285000405,0.071002407
hard,-0.293810061,0.070523828
hard,-0.193726102,0.054369097
hard,-0.198322927,0.049801753
hard,-0.179728779,0.052600385
hard,-0.287516087,0.066798724
hard,-0.296595274,0.068977661
hard,-0.318016744,0.075283278
hard,-0.301872041,0.073186022
hard,-0.170389116,0.049558148
hard,-0.176089026,0.054697217
hard,-0.293419353,0.069929773
hard,-0.247810559,0.060448841
hard,-0.165368778,0.055258479
hard,-0.204256651,0.051045743
hard,-0.156520912,0.060750131
hard,-0.174043438,0.050001584
hard,-0.291853614,0.07627942
hard,-0.328224419,0.079221222
hard,-0.262455081,0.06633177
hard,-0.304155221,0.08142619
hard,-0.179463849,0.060646128
hard,-0.220416243,0.055759389
hard,-0.211552441,0.066351476
hard,-0.202014086,0.056153891
hard,-0.169660813,0.055406187
hard,-0.261695349,0.063577707
hard,-0.272046858,0.062041233
hard,-0.169366459,0.054559969
hard,-0.320946291,0.078008194
hard,-0.195644896,0.065095096
hard,-0.295288621,0.068648806
hard,-0.191134227,0.054670084
hard,-0.278784892,0.064846987
hard,-0.286323496,0.069480102
hard,-0.249177113,0.069360204
hard,-0.323201964,0.079791508
hard,-0.346160927,0.087522973
hard,-0.309638727,0.073511468
hard,-0.294687788,0.069407222
hard,-0.256270049,0.06137971
hard,-0.277935647,0.064002863
hard,-0.157649045,0.051934098
hard,-0.158368971,0.067704218
hard,-0.304000429,0.074027383
hard,-0.290816337,0.067752996
hard,-0.313264254,0.075020792
hard,-0.177195651,0.054142298
hard,-0.208832914,0.052569466
hard,-0.270218905,0.073294951
hard,-0.155332396,0.049731203
hard,-0.122864302,0.045928748
hard,-0.308844294,0.075193288
hard,-0.188550481,0.050547719
hard,-0.283558193,0.066274192
hard,-0.322703036,0.076776881
hard,-0.286853212,0.066700526
hard,-0.179651027,0.054835486
hard,-0.200760565,0.050833681
hard,-0.317022876,0.074994593
hard,-0.19911991,0.050622137
hard,-0.314104058,0.074210818
hard,-0.307167345,0.074450641
hard,-0.282525085,0.066170564
hard,-0.16557566,0.051517968
hard,-0.166884174,0.053257607
hard,-0.286560223,0.0676472
hard,-0.312951941,0.077209325
hard,-0.210143322,0.054980936
hard,-0.186025061,0.052241344
hard,-0.283975344,0.067419996
hard,-0.175791447,0.054328764
hard,-0.276811797,0.064302733
hard,-0.318105696,0.078393425
hard,-0.275619801,0.068211857
hard,-0.284416696,0.065797959
hard,-0.151252728,0.043277532
hard,-0.150901877,0.052847102
hard,-0.29370061,0.068851978
hard,-0.171893595,0.064568906
hard,-0.127406708,0.05618541
hard,-0.164047494,0.045246132
hard,-0.302119952,0.076786328
hard,-0.294600514,0.068694242
hard,-0.276246224,0.063443016
hard,-0.135162926,0.050116675
hard,-0.215899992,0.060501267
hard,-0.289506631,0.076082659
hard,-0.190475401,0.054887899
hard,-0.189655599,0.06335364
hard,-0.263262214,0.068915908
hard,-0.165750326,0.050571132
hard,-0.151119144,0.050632537
hard,-0.274126562,0.066865074
hard,-0.199840078,0.062087722
hard,-0.173082191,0.051482147
hard,-0.242293219,0.056738913
hard,-0.141169052,0.051111418
hard,-0.158362223,0.055064561
hard,-0.290124969,0.067637293
hard,-0.255576665,0.064753979
hard,-0.281480514,0.067054236
hard,-0.218703492,0.06153546
hard,-0.34178301,0.084174371
hard,-0.323768864,0.073339289
hard,-0.206123754,0.067338895
hard,-0.184359385,0.053018043
hard,-0.156861607,0.047236822
hard,-0.274340846,0.063057435
hard,-0.142571109,0.06645741
hard,-0.294885235,0.069813989
hard,-0.154121988,0.055307265
hard,-0.252260215,0.064765588
hard,-0.300433725,0.072051623
hard,-0.145149167,0.056429337
hard,-0.176867653,0.052518936
hard,-0.299293122,0.072665455
hard,-0.328626976,0.079597197
hard,-0.339629021,0.081443084
hard,-0.151031321,0.052085652
hard,-0.310437088,0.073050691
hard,-0.291693616,0.07018825
hard,-0.252138599,0.065693613
hard,-0.179352132,0.045707391
hard,-0.263126006,0.067310897
hard,-0.183141296,0.054285133
hard,-0.303100402,0.071508072
hard,-0.162885479,0.050465479
hard,-0.162971479,0.049176636
hard,-0.279131062,0.068402016
hard,-0.164224126,0.044945555
hard,-0.181725302,0.050580501
hard,-0.200350509,0.052404183
hard,-0.273876435,0.066353149
hard,-0.203733487,0.054049712
hard,-0.174205644,0.047454463
hard,-0.160329612,0.05057296
hard,-0.281691375,0.06629771
hard,-0.321351603,0.078211755
hard,-0.294094864,0.070670622
hard,-0.141111314,0.053058967
hard,-0.15073358,0.051843451
hard,-0.298144116,0.075333788
hard,-0.320256965,0.077244918
hard,-0.190117224,0.053573309
hard,-0.327139262,0.077793192
hard,-0.163418686,0.054306186
hard,-0.331770023,0.078116577
hard,-0.312778927,0.073746074
hard,-0.322702196,0.078566128
hard,-0.308966561,0.07355802
hard,-0.137813932,0.047563378
hard,-0.1933923,0.050914381
hard,-0.280602599,0.065631051
hard,-0.316689049,0.077270799
hard,-0.282022873,0.06718919
hard,-0.295915509,0.072320191
hard,-0.238274421,0.060858341
hard,-0.200862221,0.056412375
hard,-0.15610555,0.046480641
hard,-0.197268572,0.053987089
hard,-0.118951782,0.044351094
hard,-0.171850632,0.052557904
hard,-0.133912887,0.052432678
hard,-0.184302918,0.054099513
hard,-0.166045143,0.050862878
hard,-0.185030441,0.052986368
hard,-0.362727605,0.092250646
hard,-0.31931495,0.078045925
hard,-0.2207296,0.056288148
hard,-0.224236703,0.0682769
hard,-0.282336931,0.064914188
hard,-0.187418197,0.056667023
hard,-0.257456908,0.061205802
hard,-0.197393204,0.048975608
hard,-0.335965261,0.081681256
hard,-0.197916295,0.054796538
hard,-0.159360493,0.054078285
hard,-0.27533595,0.062601624
hard,-0.214915392,0.073533182
hard,-0.056999846,0.077441686
hard,-0.255262386,0.06717781
hard,-0.208226137,0.053493635
hard,-0.182869805,0.05592558
hard,-0.298292848,0.069894741
hard,-0.267795811,0.067230457
hard,-0.176476499,0.051094525
hard,-0.317794038,0.077498948
hard,-0.173794077,0.055774107
hard,-0.196922838,0.052409338
hard,-0.1644266,0.052341992
hard,-0.274425737,0.064858256
hard,-0.288934125,0.069417138
hard,-0.158813806,0.054611256
hard,-0.306029038,0.071728592
hard,-0.286513756,0.067302836
hard,-0.281821474,0.06489767
hard,-0.196890507,0.052362748
hard,-0.198326108,0.050789621
hard,-0.192786853,0.072934119
hard,-0.33633586,0.079478569
hard,-0.167199339,0.050614431
hard,-0.140056848,0.054808011
hard,-0.242697039,0.061537361
hard,-0.154156114,0.052769855
hard,-0.183553621,0.050904942
hard,-0.160103454,0.051359986
hard,-0.224616552,0.061830494
hard,-0.285285434,0.065892485
hard,-0.169106019,0.046553206
hard,-0.320113014,0.08014082
hard,-0.166316437,0.044000248
hard,-0.301241868,0.070980693
hard,-0.151365097,0.055189029
hard,-0.327929819,0.079550507
hard,-0.160611704,0.054642668
hard,-0.241673885,0.063060708
hard,-0.217995962,0.060888497
hard,-0.331868059,0.079985756
hard,-0.167271296,0.052911138
hard,-0.184331843,0.051554097
hard,-0.326573326,0.081380902
hard,-0.149597063,0.054799947
hard,-0.172424295,0.048488503
hard,-0.147363205,0.055791167
hard,-0.303758503,0.073391319
hard,-0.155225676,0.049699619
hard,-0.19127967,0.052327011
hard,-0.202161418,0.05457461
hard,-0.331181594,0.079746542
hard,-0.140418676,0.050514144
hard,-0.235468199,0.063053301
hard,-0.268934922,0.06312528
hard,-0.152564443,0.065166588
hard,-0.289563119,0.068441184
hard,-0.196657502,0.05824625
hard,-0.206952953,0.053156526
hard,-0.203684613,0.052809195
hard,-0.173456423,0.047763175
hard,-0.29635428,0.069995375
hard,-0.256034271,0.07140942
hard,-0.269529728,0.065321885
hard,-0.274431144,0.074448135
hard,-0.130357368,0.052005011
hard,-0.177970064,0.050099681
hard,-0.16601793,0.051581249
hard,-0.224350742,0.056813393
hard,-0.164647701,0.051763747
hard,-0.250734476,0.059181949
hard,-0.158992126,0.051124619
hard,-0.148912304,0.046706919
hard,-0.134428371,0.053687296
hard,-0.27941043,0.065818878
hard,-0.126418104,0.053269333
hard,-0.196924863,0.052635421
hard,-0.323363407,0.077283175
hard,-0.207642681,0.059147499
hard,-0.130642519,0.049141871
hard,-0.308220255,0.073851897
hard,-0.264496668,0.063199646
hard,-0.237972426,0.055380263
hard,-0.163413893,0.07024393
hard,-0.333359326,0.079618059
hard,-0.313401638,0.073792645
hard,-0.174269793,0.050132306
hard,-0.279995242,0.066584382
hard,-0.177933304,0.052063976
hard,-0.338516356,0.0833474
hard,-0.274306452,0.064057332
hard,-0.249224255,0.070636297
hard,-0.264207824,0.065678586
hard,-0.155423636,0.050046307
hard,-0.177723672,0.045011017
hard,-0.175858444,0.045588128
hard,-0.296239335,0.069091481
hard,-0.176581187,0.045551169
hard,-0.310513031,0.076844375
hard,-0.29221557,0.075700583
hard,-0.302272334,0.071361688
hard,-0.276628418,0.063426624
hard,-0.174511756,0.051985057
hard,-0.189850008,0.051614459
hard,-0.248478212,0.062241454
hard,-0.286973776,0.069962492
hard,-0.153671881,0.0541892
hard,-0.160035218,0.056462272
hard,-0.306049995,0.071733647
hard,-0.182671171,0.050753644
hard,-0.32918097,0.079732248
hard,-0.29230885,0.071041822
hard,-0.165905929,0.048723022
hard,-0.240570514,0.067016868
hard,-0.282716064,0.065854652
hard,-0.127469964,0.053004666
hard,-0.323336182,0.080480205
hard,-0.160821843,0.044271492
hard,-0.21371227,0.053808013
hard,-0.218392316,0.061464634
hard,-0.290946056,0.07002682
hard,-0.291849322,0.068261582
hard,-0.13424172,0.050494657
hard,-0.285522453,0.068446041
hard,-0.29031794,0.067081909
hard,-0.274100393,0.063861492
hard,-0.196441718,0.065216579
hard,-0.208242553,0.054009829
hard,-0.281325103,0.067303932
hard,-0.126213659,0.055292222
hard,-0.159886297,0.052131946
hard,-0.195399538,0.061135479
hard,-0.20971945,0.063037116
hard,-0.204107069,0.052639267
hard,-0.249701955,0.060277312
hard,-0.315061015,0.074213946
hard,-0.148087163,0.052442966
hard,-0.185023502,0.052467871
hard,-0.306061265,0.073290611
hard,-0.192387529,0.053850582
hard,-0.145969893,0.052722954
hard,-0.295604104,0.069081632
hard,-0.204463583,0.04940708
hard,-0.182560552,0.05002193
hard,-0.18467475,0.051195332
hard,-0.276496652,0.06798367
hard,-0.308192001,0.073716243
hard,-0.14518934,0.054373428
hard,-0.182134816,0.067340738
hard,-0.186450424,0.049966455
hard,-0.190594846,0.051862846
hard,-0.321098348,0.080363555
hard,-0.289773655,0.067273631
hard,-0.151605655,0.045249519
hard,-0.126467683,0.044030879
hard,-0.251659272,0.06091029
hard,-0.180995251,0.046305567
hard,-0.220470975,0.062612023
hard,-0.16570915,0.051916981
hard,-0.287740725,0.070506421
hard,-0.153472559,0.050798218
hard,-0.164073035,0.052356643
hard,-0.223237833,0.054390262
hard,-0.271977093,0.067003618
hard,-0.169484139,0.04614689
hard,-0.284622558,0.070901776
hard,-0.123149651,0.053400594
hard,-0.277064903,0.069496592
hard,-0.255342669,0.067762034
hard,-0.134918323,0.049180345
hard,-0.283290586,0.069978621
hard,-0.157568266,0.052842254
hard,-0.180608878,0.052575209
hard,-0.351990294,0.08616447
hard,-0.293753992,0.070985526
hard,-0.153747549,0.051705229
hard,-0.320780242,0.078217456
hard,-0.271796054,0.065389143
hard,-0.277682906,0.066674765
hard,-0.150241159,0.054140247
hard,-0.154472007,0.072696371
hard,-0.275251457,0.067130202
hard,-0.311826252,0.076151428
hard,-0.286527207,0.066571155
hard,-0.332176949,0.082964952
hard,-0.274191733,0.064318603
hard,-0.185565496,0.062715179
hard,-0.141449846,0.046176515
hard,-0.245507929,0.070758897
hard,-0.162800099,0.056435891
hard,-0.164699545,0.05106791
hard,-0.284158352,0.065379114
hard,-0.319795418,0.079948072
hard,-0.291165534,0.068553997
hard,-0.236688888,0.058503677
hard,-0.280360171,0.064308744
hard,-0.144194047,0.051604749
hard,-0.184013815,0.05201687
hard,-0.155445479,0.055431028
hard,-0.309309088,0.072600963
hard,-0.131809144,0.045964519
hard,-0.222309622,0.061658074
hard,-0.172347679,0.060730523
hard,-0.2779524,0.067834603
hard,-0.295809449,0.073744708
hard,-0.158919776,0.053498251
hard,-0.27045064,0.065202
hard,-0.323686803,0.077740152
hard,-0.270913629,0.063922904
hard,-0.224365649,0.069100302
hard,-0.160192783,0.045001055
hard,-0.235433486,0.062574635
hard,-0.320043531,0.076186134
hard,-0.174372762,0.043628288
