Species,Input ,Output,Coupler,KT,log_input,log_output,log_coupler,log_kt,type
A.vicina',0.838,0.108,1.063,6.85,-0.076755981,-0.966576245,0.026533265,0.835690571,spearer
A.tsangi',0.79,0.076,1.012,9.59,-0.102372909,-1.119186408,0.005180513,0.981818607,spearer
B.plantei',0.704,0.106,0.977,6.32,-0.152427341,-0.974694135,-0.010105436,0.800717078,spearer
C.excavata',0.632,0.134,1.015,4.92,-0.199282922,-0.872895202,0.006466042,0.691965103,smasher
C.tweediei',0.694,0.117,1.07,5.52,-0.15864053,-0.931814138,0.029383778,0.741939078,smasher
E.guerinii',0.69,0.124,1.089,4.96,-0.161150909,-0.906578315,0.03702788,0.695481676,smasher
F.fallax',0.734,0.103,1.101,6.34,-0.13430394,-0.987162775,0.041787319,0.802089258,spearer
G.falcatus',0.66,0.109,1.041,5.61,-0.180456064,-0.962573502,0.01745073,0.748962861,smasher
G.espinosus',0.648,0.116,1.188,4.82,-0.188424994,-0.935542011,0.074816441,0.683047038,smasher
G.childi',0.606,0.086,1.151,6.21,-0.217527376,-1.065501549,0.061075324,0.7930916,smasher
G.chiragra',0.686,0.118,0.998,5.51,-0.163675884,-0.928117993,-0.000869459,0.741151599,smasher
G.platysoma',0.663,0.118,1.076,5.16,-0.178486472,-0.928117993,0.031812271,0.712649702,smasher
G.smithii',0.685,0.128,1.112,4.74,-0.164309429,-0.89279003,0.046104787,0.675778342,smasher
H.glyptocercus',0.623,0.11,1.019,5.4,-0.205511953,-0.958607315,0.008174184,0.73239376,smasher
H.trispinosa',0.661,0.105,1.011,6.01,-0.179798541,-0.978810701,0.004751156,0.778874472,smasher
H.harpax',0.859,0.095,1.207,7.62,-0.066006836,-1.022276395,0.08170727,0.881954971,spearer
H.tricarinata',0.805,0.082,0.958,9.99,-0.09420412,-1.086186148,-0.018634491,0.999565488,spearer
K.mikado',0.85,0.122,1.15,5.93,-0.070581074,-0.913640169,0.06069784,0.773054693,spearer
L.maculata',0.701,0.061,1.157,9.98,-0.154281982,-1.214670165,0.063333359,0.999130541,spearer
L.sulcata',0.765,0.077,1.129,8.73,-0.116338565,-1.113509275,0.052693942,0.941014244,spearer
N.bahiahondensis',0.594,0.107,1.151,5.11,-0.226213555,-0.970616222,0.061075324,0.7084209,smasher
N.bredini',0.645,0.098,1.046,5.74,-0.190440285,-1.008773924,0.019531685,0.758911892,smasher
N.oerstedii',0.688,0.099,1.092,6.37,-0.162411562,-1.004364805,0.038222638,0.804139432,smasher
O.havanensis',0.734,0.115,1.079,5.77,-0.13430394,-0.93930216,0.033021445,0.761175813,smasher
O.latirostris',0.781,0.129,1.09,5.45,-0.107348966,-0.88941029,0.037426498,0.736396502,smasher
O.scyllarus',0.778,0.128,1.065,5.44,-0.109020403,-0.89279003,0.027349608,0.7355989,smasher
P.ciliata',0.773,0.1,1.056,7.01,-0.111820506,-1,0.023663918,0.845718018,spearer
P.richeri',0.978,0.087,1.318,8.68,-0.009661145,-1.060480747,0.11991541,0.938519725,spearer
P.marmorata',0.725,0.107,1.058,6.39,-0.139661993,-0.970616222,0.024485668,0.805500858,spearer
R.hieroglyphica',0.825,0.095,1.061,8.38,-0.083546051,-1.022276395,0.025715384,0.923244019,spearer
R.ornata',0.781,0.103,1.056,8.64,-0.107348966,-0.987162775,0.023663918,0.936513742,spearer
R.oxyrhyncha',0.811,0.081,1.051,8.99,-0.090979146,-1.091514981,0.021602716,0.953759692,spearer
S.empusa',0.794,0.118,1.132,5.9,-0.100179498,-0.928117993,0.053846427,0.770852012,spearer
T.spinosocarinatus',0.647,0.129,1.094,4.56,-0.189095719,-0.88941029,0.039017322,0.658964843,smasher